furnished,garage,garden,kitchen_equipment,kitchen_type,livable_surface,locality,number_of_bathrooms,number_of_bedrooms,number_of_facades,number_of_floors,price,property_code,property_url,state_of_the_property,surface_garden,surface_terrace,swimming_pool,terrace,total_land_surface,type_of_heating,type_of_property
,,,,,85 m²,2300 Turnhout,1.0,2.0,,,  215 000 €  ,RBT71089,https://immovlan.be/en/detail/apartment/for-sale/2300/turnhout/rbt71089,Excellent,,,,Yes,,Gas,Apartment
No,,Yes,,,172 m²,2170 Merksem,1.0,3.0,2.0,,  379 000 €  ,RBT71036,https://immovlan.be/en/detail/residence/for-sale/2170/merksem/rbt71036,Normal,16 m²,,,,100 m²,Gas,Residence
No,,Yes,,,145 m²,2530 Boechout,2.0,4.0,2.0,,  349 000 €  ,RBT71009,https://immovlan.be/en/detail/residence/for-sale/2530/boechout/rbt71009,Normal,,,,Yes,138 m²,Gas,Residence
No,Yes,,,,109 m²,2610 Wilrijk,1.0,3.0,3.0,22.0,  245 000 €  ,RBT70976,https://immovlan.be/en/detail/apartment/for-sale/2610/wilrijk/rbt70976,Normal,,15 m²,,Yes,,Gas,Apartment
No,,,,,40 m²,2000 Antwerp,1.0,1.0,2.0,3.0,  159 000 €  ,RBT70965,https://immovlan.be/en/detail/ground-floor/for-sale/2000/antwerp/rbt70965,Normal,,,,,,Electricity,Ground
No,,,,,56 m²,2000 Antwerp,1.0,1.0,2.0,3.0,  219 000 €  ,RBT70962,https://immovlan.be/en/detail/ground-floor/for-sale/2000/antwerp/rbt70962,To be renovated,,,,,,Gas,Ground
No,,,,,91 m²,2660 Hoboken,1.0,3.0,2.0,,  209 000 €  ,RBT70949,https://immovlan.be/en/detail/apartment/for-sale/2660/hoboken/rbt70949,To be renovated,,,,,,Gas,Apartment
No,Yes,Yes,Super equipped,,239 m²,2280 Grobbendonk,1.0,4.0,3.0,,  569 000 €  ,RBT70732,https://immovlan.be/en/detail/residence/for-sale/2280/grobbendonk/rbt70732,Normal,,,,,285 m²,Gas,Residence
No,,Yes,,,97 m²,2820 Bonheiden,1.0,2.0,3.0,,  250 000 €  ,RBT70762,https://immovlan.be/en/detail/residence/for-sale/2820/bonheiden/rbt70762,To be renovated,,,,Yes,440 m²,Gas,Residence
,,,Super equipped,,58 m²,2170 Merksem,1.0,1.0,2.0,8.0,  210 000 €  ,RBT70750,https://immovlan.be/en/detail/apartment/for-sale/2170/merksem/rbt70750,Excellent,,30 m²,,Yes,,Hot air,Apartment
No,,,,,101 m²,2140 Borgerhout,1.0,2.0,,,  189 000 €  ,RBT70728,https://immovlan.be/en/detail/apartment/for-sale/2140/borgerhout/rbt70728,To be renovated,,33 m²,,Yes,,Gas,Apartment
